lang	lang_desc	denom	num	pct100str	pct100
win	Winnebago	2204	111	5.0	5.036297640653357
bal	Baluchi	2204	110	5.0	4.99092558983666
mnp	Northern Min	2204	107	4.9	4.85480943738657
tab	Tabasaran	2204	106	4.8	4.809437386569873
bar	Bavarian	2204	106	4.8	4.809437386569873
rcf	Réunion Creole French	2204	105	4.8	4.764065335753176
kdb	East Circassian	2204	103	4.7	4.673321234119782
dtp	Central Dusun	2204	102	4.6	4.627949183303086
tzm	Central Atlas Tamazight	2204	101	4.6	4.582577132486389
roa-tar	Tarantino	2204	100	4.5	4.537205081669692
rhg	Rohingya	2204	97	4.4	4.4010889292196005
egl	Emilian	2204	96	4.4	4.3557168784029034
akk	Akkadian	2204	95	4.3	4.310344827586207
sva	Svan	2204	95	4.3	4.310344827586207
mh	Marshallese	2204	91	4.1	4.128856624319419
bi	Bislama	2204	86	3.9	3.901996370235935
ttt	Tat	2204	85	3.9	3.856624319419238
udi	Udi	2204	84	3.8	3.8112522686025407
rw	Rwanda-Rundi	2204	82	3.7	3.720508166969147
mel	Central Melanau	2204	75	3.4	3.4029038112522687
prg	Old Prussian	2204	73	3.3	3.3121597096188746
xsr	Sherpa	2204	71	3.2	3.221415607985481
ofs	Old Frisian	2204	70	3.2	3.176043557168784
nog	Nogai	2204	68	3.1	3.0852994555353903
chy	Cheyenne	2204	66	3.0	2.9945553539019962
tkl	Tokelauan	2204	66	3.0	2.9945553539019962
kaa	Karakalpak	2204	65	2.9	2.9491833030852996
tli	Tlingit	2204	65	2.9	2.9491833030852996
ale	Aleut	2204	64	2.9	2.9038112522686026
akz	Alabama	2204	63	2.9	2.8584392014519056
abq	Abaza	2204	57	2.6	2.586206896551724
lbe	Lak	2204	55	2.5	2.49546279491833
goh	Old High German	2204	55	2.5	2.49546279491833
jam	Jamaican Creole	2204	52	2.4	2.3593466424682394
bdr	West Coast Bajau	2204	50	2.3	2.268602540834846
iba	Iban	2204	50	2.3	2.268602540834846
aqc	Archi	2204	48	2.2	2.1778584392014517
dar	Dargwa	2204	48	2.2	2.1778584392014517
bbl	Bats	2204	48	2.2	2.1778584392014517
rar	Rarotongan	2204	44	2.0	1.9963702359346642
pcd	Picard	2204	44	2.0	1.9963702359346642
mrc	Maricopa	2204	44	2.0	1.9963702359346642
